,yt_title,comment
0,bbno$ & Rich Brian - edamame (Official Video) - YouTube,This goes incredibly hard.
1,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"""Cling clang"" is the glue that holds this song together"
2,bbno$ & Rich Brian - edamame (Official Video) - YouTube,We definitely need an extended version. Song is far tooooo good. 2:21 is not enough.
3,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Need more songs like this that just sounds fun and hyped 🤘
4,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Would really like to see these guys do this again! Good combo and great vibe.
5,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"I have this song on repeat, it's too fire!!!"
6,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Just heard this song for the first time on a top 40s radio station and I was shocked at how much I loved it, those horns are just fire"
7,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"From an older fans perspective it's great to see hip hop take on different perspectives and approaches.  Truthfully, it's been getting stale and one dimensional up to now. Great work guys."
8,bbno$ & Rich Brian - edamame (Official Video) - YouTube,It's nice if he sing by himself alone I really like his voice
9,bbno$ & Rich Brian - edamame (Official Video) - YouTube,This isn't usually my type of music but this goes hard
10,bbno$ & Rich Brian - edamame (Official Video) - YouTube,One of the best songs of yours👍
11,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Just heard it on the radio here in Finland, had to find it and here I am, LOOPING this fine fine song! This is what we need!"
12,bbno$ & Rich Brian - edamame (Official Video) - YouTube,The contrast of their two rapper names is making me laugh: Rich Brian and baby no money
13,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Now this is difficult to understand everything sang but damn heard today and first from month ago.. Instant love it!
14,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"I usually don't like listening rap but this song has kinda different vibe✨. The way it is so energetic, joyful 😍 and hyped up is on another level !!!

And also the way they sing 'pop a bottle off a yacht' is amazing😍😍..."
15,bbno$ & Rich Brian - edamame (Official Video) - YouTube,44 years old and this song had me dancing it out in my kitchen. Love it!!!
16,bbno$ & Rich Brian - edamame (Official Video) - YouTube,This ain't my type of music at all. BUT THIS IS AMAZING.
17,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Just listen to this song on Spotify and the MV is so lit.
18,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"This song really blew up in the past few weeks, I keep hearing it all over in random places."
19,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Sensational song. Best beat I heard in a long time. So great flow. Can not stop listening to it. Great respect to the ones who worked on it. Genius piece from my point of view.
20,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Rap has never been my type of music but this is just so well made
21,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"I swear to god, the vibe of the song fixes my bad moods and the official video helps even more."
22,bbno$ & Rich Brian - edamame (Official Video) - YouTube,when u hit lvl 5 defence in runescape
23,bbno$ & Rich Brian - edamame (Official Video) - YouTube,This song plays everyday at work and i still can’t get over it! Hits every time
24,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Bro this still never gets old you need more like this !!!!!!
25,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I have literally no idea why this flow is SO DAMN GOOD
